Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,3.14816865236183E-18,-0.0233636341691508,5.99607732512132E-17,0,0,0,104.073975462643,3.66615542809238,9.66734798109379E-17,7.61041258947234E-17,1.62745702837988,-2.18052171094121E-16,2.70815583070119,0,0,0,0,0,0,package://simple_bipedal/meshes/base_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://simple_bipedal/meshes/base_link.STL,,root_link-1,root_origin,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
hip_pitch_left_link,2.50382927681168E-08,-5.55111512312578E-17,2.50382927446946E-08,0,0,0,8.17782778579702,0.0274609810436168,1.76383028134348E-08,5.13566616479572E-15,0.0285282306584235,-1.76383028106682E-08,0.0274609810436168,0,0,0,0,0,0,package://simple_bipedal/meshes/hip_pitch_left_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://simple_bipedal/meshes/hip_pitch_left_link.STL,,hip_pitch_link-1,hip_pitch_left_origin,hip_pitch_left,hip_pitch_left_joint,continuous,0,-0.355,-0.125,0,0,0,base_link,0,0,1,,,,,,,,,,,,
hip_roll_left_link,-8.88594652651202E-19,-0.0742004636472874,-2.77555756156289E-17,0,0,0,6.12916564770063,0.0301865314382572,-1.97648441430744E-18,-2.5976824930112E-18,0.0340758392796289,1.20342273549719E-18,0.044385967333728,0,0,0,0,0,0,package://simple_bipedal/meshes/hip_roll_left_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://simple_bipedal/meshes/hip_roll_left_link.STL,,hip_roll_link-1,hip_roll_left_origin,hip_roll_left,hip_roll_left_joint,continuous,0,0,0,0,0,0,hip_pitch_left_link,1,0,0,,,,,,,,,,,,
hip_yaw_left_link,-1.51139860408346E-08,-0.163359087286797,1.38777878078145E-17,0,0,0,15.9288324363201,0.158006429792871,6.81537911575121E-09,-4.86680100502339E-08,0.0486950529120668,2.84857007659769E-18,0.155807620289761,0,0,0,0,0,0,package://simple_bipedal/meshes/hip_yaw_left_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://simple_bipedal/meshes/hip_yaw_left_link.STL,,hip_yaw_link-1,hip_yaw_left_origin,hip_yaw_left,hip_yaw_left_joint,continuous,0,-0.15,0,0,0,0,hip_roll_left_link,0,-1,0,,,,,,,,,,,,
knee_pitch_left_link,-2.57657030922869E-08,-0.195112626503353,-2.53453038001616E-08,0,0,0,17.3220695885815,0.243852593261598,6.37172732215568E-08,-4.73538003380343E-08,0.0694508483137373,-5.72266275466994E-08,0.227453959920081,0,0,0,0,0,0,package://simple_bipedal/meshes/knee_pitch_left_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://simple_bipedal/meshes/knee_pitch_left_link.STL,,knee_pitch_link-1,knee_pitch_left_origin,knee_pitch_left,knee_pitch_left_joint,continuous,0,-0.25,0,0,0,0,hip_yaw_left_link,0,0,1,,,,,,,,,,,,
ankle_pitch_left_link,2.18852964426249E-18,-0.141401742541555,-2.77555756156289E-17,0,0,0,13.3431533790223,0.119819082175432,3.56064212644614E-18,-8.57344274603269E-19,0.0616832875211421,-1.53060376016585E-17,0.107284629027132,0,0,0,0,0,0,package://simple_bipedal/meshes/ankle_pitch_left_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://simple_bipedal/meshes/ankle_pitch_left_link.STL,,ankle_pitch_link-1,ankle_pitch_left_origin,ankle_pitch_left,ankle_pitch_left_joint,continuous,0,-0.3,0,0,0,0,knee_pitch_left_link,0,0,1,,,,,,,,,,,,
ankle_roll_left_link,6.75518732543963E-18,-0.0513144703910333,1.38777878078145E-17,0,0,0,4.64559018505733,0.0197277410568368,1.9750314774744E-18,-3.28074232638804E-18,0.0425686282909446,-1.73111382544016E-18,0.0457633969523077,0,0,0,0,0,0,package://simple_bipedal/meshes/ankle_roll_left_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://simple_bipedal/meshes/ankle_roll_left_link.STL,,ankle_roll_link-1,ankle_roll_left_origin,ankle_roll_left,ankle_roll_left_joint,continuous,0,-0.2,0,0,0,0,ankle_pitch_left_link,1,0,0,,,,,,,,,,,,
hip_pitch_right_link,2.50382927761668E-08,5.55111512312578E-17,2.50382927724502E-08,0,0,0,8.17782778579702,0.0274609810436168,1.76383028094622E-08,5.13166804588344E-15,0.0285282306584235,-1.76383028105973E-08,0.0274609810436168,0,0,0,0,0,0,package://simple_bipedal/meshes/hip_pitch_right_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://simple_bipedal/meshes/hip_pitch_right_link.STL,,hip_pitch_link-2,hip_pitch_right_origin,hip_pitch_right,hip_pitch_right_joint,continuous,0,-0.355,0.125,0,0,0,base_link,0,0,1,,,,,,,,,,,,
hip_roll_right_link,-7.36727495988482E-18,-0.0742004636472874,0,0,0,0,6.12916564770063,0.0301865314382572,-1.65758435059659E-18,-2.29671192274964E-18,0.0340758392796289,1.65850481115776E-18,0.044385967333728,0,0,0,0,0,0,package://simple_bipedal/meshes/hip_roll_right_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://simple_bipedal/meshes/hip_roll_right_link.STL,,hip_roll_link-2,hip_roll_right_origin,hip_roll_right,hip_roll_right_joint,continuous,0,0,0,0,0,0,hip_pitch_right_link,1,0,0,,,,,,,,,,,,
hip_yaw_right_link,-1.51139860422597E-08,-0.163359087286797,0,0,0,0,15.9288324363201,0.158006429792871,6.81537911357161E-09,-4.86680100505176E-08,0.0486950529120669,2.16392355495271E-18,0.155807620289761,0,0,0,0,0,0,package://simple_bipedal/meshes/hip_yaw_right_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://simple_bipedal/meshes/hip_yaw_right_link.STL,,hip_yaw_link-2,hip_yaw_right_origin,hip_yaw_right,hip_yaw_right_joint,continuous,0,-0.15,0,0,0,0,hip_roll_right_link,0,-1,0,,,,,,,,,,,,
